"tool","label","tp_alignment","fp_alignment","fn_alignment","accuracy","avg_f1_all","avg_precision_alignment","avg_recall_alignment","avg_rouge1_recall_alignment","avg_rouge2_recall_alignment","avg_rouge3_recall_alignment","avg_bleu_score_alignment","avg_lev_ratio_non_zero","avg_lev_ratio_alignment","false_discovery_rate","miss_rate","alignment_error_rate"
"cermine","abstract","85","8","15","0.787037037037037","0.8808290155440415","0.9139784946236559","0.85","0.763649528927886","0.7525369206523168","0.7418804203212872","0.7389043684281004","0.986737641992897","0.7765990700870022","0.08602150537634409","0.15","0.21296296296296297"
"cermine","affiliation","150","23","244","0.3597122302158273","0.5291005291005291","0.8670520231213873","0.38071065989847713","0.24521695209531874","0.18943003111651163","0.1571295465900465","0.17027289822406294","0.9592546216559023","0.34505561930068424","0.1329479768786127","0.6192893401015228","0.6402877697841727"
"cermine","author","267","46","60","0.7158176943699732","0.834375","0.8530351437699681","0.8165137614678899","0.6825737265415549","0.6563896336014299","0.6496872207327972","0.6623620352786466","0.9926665628118239","0.7105682902701259","0.14696485623003194","0.1834862385321101","0.28418230563002683"
"cermine","caption","0","0","861","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"cermine","email","106","3","84","0.5492227979274611","0.7090301003344482","0.9724770642201835","0.5578947368421052","0.5284974093264249","0.5284974093264249","0.5284974093264249","0.5252221732703184","0.9967272969681641","0.5474253548115305","0.027522935779816515","0.4421052631578947","0.45077720207253885"
"cermine","equation","0","0","2936","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"cermine","footer","0","0","317","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"cermine","header","0","0","159","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"cermine","keyword","0","0","247","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"cermine","list","0","0","243","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"cermine","pub_date","0","28","27","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0"
"cermine","reference","2937","55","790","0.7765732416710736","0.8742372376841792","0.9816176470588235","0.7880332707271264","0.690072134612486","0.6492245424052984","0.6177414262756201","0.6279402998945871","0.9811129742810341","0.7619060828829712","0.01838235294117647","0.21196672927287363","0.2234267583289265"
"cermine","section","859","833","611","0.3729917498914459","0.543327008222644","0.5076832151300237","0.5843537414965987","0.30934957477510666","0.29464208175671486","0.2844724617303862","0.26025459451170335","0.9514789364414528","0.3548937934881493","0.4923167848699764","0.41564625850340137","0.6270082501085541"
"cermine","table","0","0","253","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"cermine","title","89","5","10","0.8557692307692308","0.9222797927461138","0.9468085106382979","0.898989898989899","0.808117890781918","0.7861300158175157","0.7710411383488307","0.7701267455080048","0.98728886332454","0.8448914311142699","0.05319148936170213","0.10101010101010101","0.14423076923076922"
